macula_id	gloss
o010010300081	creeping.[thing]
o010010300091	on
o010010300101	the
o010010300102	earth
o010010300111	which
o010010300121	[is].in
o010010300122	it
o010010300131	life
o010010300141	living
o010010300151	(et)
o010010300161	all
o010010300171	greenery
o010010300181	of.plant[s]
o010010300191	to
o010010300192	food
o010010300201	and
o010010300202	it.was
o010010300211	so
o010010310011	and
o010010310012	he.saw
o010010310021	God
o010010310031	(et)
o010010310041	all
o010010310051	that
o010010310061	he.had.made
o010010310071	and
o010010310072	there!
o010010310081	[it.was].good
o010010310091	very
o010010310101	and
o010010310102	it.was
o010010310111	evening
o010010310121	and
o010010310122	it.was
o010010310131	morning
o010010310141	[the].day
o010010310151	(the)
o010010310152	sixth
o010020010011	and
o010020010012	they.were.completed
o010020010021	the
o010020010022	heavens
o010020010031	and
o010020010032	the
o010020010033	earth
o010020010041	and
o010020010042	all
o010020010051	host
o010020010052	their
o010020020011	and
o010020020012	he.completed
o010020020021	God
o010020020031	on
o010020020031ה	the
o010020020032	day
o010020020041	(the)
o010020020042	seventh
o010020020051	work
o010020020052	his
o010020020061	which
o010020020071	he.had.done
o010020020081	and
o010020020082	he.rested
o010020020091	on
o010020020091ה	the
o010020020092	day
o010020020101	(the)
o010020020102	seventh
o010020020111	from
o010020020112	all
o010020020121	work
o010020020122	his
o010020020131	which
o010020020141	he.had.done
o010020030011	and
o010020030012	he.blessed
o010020030021	God
o010020030031	(et)
o010020030041	[the].day
o010020030051	(the)
o010020030052	seventh
o010020030061	and
o010020030062	he.set.apart.as.holy
o010020030071	
o010020030072	it
o010020030081	(dm)
o010020030091	on
o010020030092	it
o010020030101	he.rested
o010020030111	from
o010020030112	all
o010020030121	work
o010020030122	his
o010020030131	which
o010020030141	he.had.created
o010020030151	God
o010020030161	to
o010020030162	make
o010020040011	these
o010020040021	[are].the.accounts
o010020040031	of
o010020040032	the.heavens
o010020040041	and
o010020040042	the
o010020040043	earth
o010020040051	when
o010020040052	they
o010020040053	were.created
o010020040061	on
o010020040062	the.day
o010020040071	made
o010020040081	Yahweh
o010020040091	God
o010020040101	earth
o010020040111	and
o010020040112	heaven
o010020050011	and
o010020050012	any
o010020050021	(the).bush[es]
o010020050031	of
o010020050032	the.field
o010020050041	not.yet
o010020050051	it.was
o010020050061	on
o010020050061ה	the
o010020050062	earth
o010020050071	and
o010020050072	any
o010020050081	(the).vegetation
o010020050091	of
o010020050092	the.field
o010020050101	not.yet
o010020050111	it.was.sprouting
o010020050121	(dm)
o010020050131	not
o010020050141	he.had.caused.rain
o010020050151	Yahweh
o010020050161	God
