MARBLE_ID	REASON
00901301900020	kethiv
00901402700064	kethiv
00901402700066	kethiv
00901403200002	kethiv
00901403200004	kethiv
00901403200016	kethiv
00901403200018	kethiv
00901501600034	kethiv
00901501600036	kethiv
00901700700002	kethiv
00901700700004	kethiv
00901702300034	kethiv
00901702300036	kethiv
00901800100032	kethiv
00901800100034	kethiv
00901800600042	kethiv
00901800600044	kethiv
00901800700022	kethiv
00901800700024	kethiv
00901800900008	kethiv
00901901800056	kethiv
00901901800058	kethiv
00901901900018	kethiv
00901901900020	kethiv
00901902200056	kethiv
00901902200058	kethiv
00901902300010	kethiv
00901902300048	kethiv
00901902300050	kethiv
00902000100008	kethiv
00902000100010	kethiv
00902000200016	kethiv
00902000200018	kethiv
00902002400030	kethiv
00902003800032	kethiv
00902003800034	kethiv
00902101200050	kethiv
00902101200052	kethiv
00902101200062	kethiv
00902101200064	kethiv
00902101400022	kethiv
00902101400024	kethiv
00902201300006	kethiv
00902201500008	kethiv
00902201500010	kethiv
00902201700062	kethiv
00902201800010	kethiv
00902201800012	kethiv
00902201800036	kethiv
00902202200028	kethiv
00902300500008	kethiv
00902300500010	kethiv
00902400500034	kethiv
00902400900016	kethiv
00902400900018	kethiv
00902400900020	kethiv
00902401900002	kethiv
00902401900004	kethiv
00902500300054	kethiv
00902501800006	kethiv
00902501800032	kethiv
00902503400030	kethiv
00902503400032	kethiv
00902600500078	kethiv
00902600700048	kethiv
00902600700064	kethiv
00902601100038	kethiv
00902601600072	kethiv
00902602200014	kethiv
00902700400022	kethiv
00902700800022	kethiv
00902700800024	kethiv
00902700800026	kethiv
00902800800046	kethiv
00902900500038	kethiv
00902900500040	kethiv
00903000600040	kethiv
01000100800012	kethiv
01000100800014	kethiv
01000101100008	kethiv
01000101100010	kethiv
01000101600010	kethiv
01000202300052	kethiv
01000300200002	kethiv
01000300200004	kethiv
01000300300008	kethiv
01000300300010	kethiv
01000301200014	kethiv
01000301500026	kethiv
01000302500034	kethiv
01000500200022	kethiv
01000500200026	kethiv
01000500200028	kethiv
01000500200034	kethiv
01000500200036	kethiv
01000500200038	kethiv
01000500800050	kethiv
01000502400006	kethiv
01000502400008	kethiv
01000800300034	kethiv
01001000900040	kethiv
01001102400002	kethiv
01001102400004	kethiv
01001102400010	kethiv
01001102400012	kethiv
01001200900020	kethiv
01001200900022	kethiv
01001202000026	kethiv
01001202200030	kethiv
01001202200032	kethiv
01001202400032	kethiv
01001202400034	kethiv
01001203100052	kethiv
01001203100054	kethiv
01001203100056	kethiv
01001300800030	kethiv
01001300800032	kethiv
01001303400022	kethiv
01001303700018	kethiv
01001400700072	kethiv
01001401100020	kethiv
01001401100022	kethiv
01001402200070	kethiv
01001403000030	kethiv
01001403000032	kethiv
01001500800028	kethiv
01001502000012	kethiv
